"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM543180","Tumor",379.88852,3084.719,294.69296,2216.7703,2186.434,123.93233,622.8803,3477.0085
"GSM543181","Tumor",1224.2341,3535.7412,1389.0385,809.4949,3017.2551,29.72145,716.8522,3159.2622
"GSM543182","Tumor",790.81024,1088.0939,329.1589,162.4439,845.85077,27.875748,128.3856,2514.8125
"GSM543183","Tumor",2883.6301,3247.5527,9945.42,7675.723,3946.4705,71.63454,607.96106,14255.75
"GSM543184","Tumor",1023.4843,3467.6482,4309.0166,1656.229,4550.886,32.598,574.8762,6461.468
"GSM543185","Tumor",4229.9443,7664.087,7599.312,33443.45,2083.8447,242.94728,1418.3092,34370.605
"GSM543186","Tumor",1000.8966,2202.7837,287.7537,15904.239,884.2784,29.955637,481.50262,2831.7043
"GSM543187","Tumor",1628.0939,6083.16,23453.943,16364.03,3026.7861,70.064644,898.99426,20905.639
"GSM543188","Tumor",1230.3195,9277.551,4390.714,88.07071,3205.2224,100.57429,945.7993,8014.984
"GSM543189","Tumor",322.839,2510.3562,816.50934,2844.6064,516.28467,25.958624,220.37675,1997.533
"GSM543190","Tumor",1443.2292,5991.21,3637.743,8748.258,12923.602,109.80769,756.6435,21526.035
"GSM543191","Tumor",3751.711,6853.278,4178.144,921.0633,9232.669,176.31937,1162.845,19382.717
"GSM543192","Tumor",1670.8368,5299.243,15865.367,666.09906,5970.15,116.88439,750.81506,7363.112
"GSM543193","Tumor",670.6298,8518.992,3922.8513,2797.7646,4646.976,167.86528,1112.8319,14119.369
"GSM543194","Tumor",2430.8623,5564.534,810.7893,1031.3496,2786.4856,57.447323,520.4287,13282.06
"GSM543195","Tumor",3114.2903,3952.201,880.31067,720.096,2014.5449,45.04551,744.5781,9760.214
"GSM543196","Tumor",1353.2933,10686.19,13851.104,54650.008,6482.598,128.22598,1422.5326,24637.654
"GSM543197","Tumor",2323.2944,7417.2295,6697.606,51866.44,7903.5396,51.295418,1256.1152,21374.924
"GSM543198","Tumor",3156.9011,5986.697,30174.506,541.6313,4728.1772,63.967518,1074.8641,18924.377
"GSM543199","Tumor",1740.9009,10292.444,6907.574,190.80156,7352.625,216.60991,937.81244,19925.254
"GSM543200","Tumor",1719.2122,6151.711,2028.9303,45870.473,3614.8506,60.851597,1097.151,7660.0454
"GSM543201","Tumor",2251.4976,6061.653,1137.0178,7120.9614,1109.041,466.42688,851.6003,28667.887
"GSM543202","Tumor",5289.4194,6147.2393,21161.58,11765.445,4912.33,78.0473,976.2776,17144.41
"GSM543203","Tumor",1601.7163,7121.296,17937.574,133.38243,3638.3394,111.66471,996.17255,18351.113
"GSM543204","Tumor",6614.48,12766.823,8847.496,1279.5194,5006.0547,166.1066,947.529,37028.332
"GSM543205","Tumor",1273.2278,1887.5316,1517.0399,2321.8281,3761.9873,74.359665,323.33597,4446.6543
"GSM543206","Tumor",1423.5524,5087.9443,339.08615,903.94086,1149.8695,126.002686,839.2686,22789.277
"GSM543207","Tumor",2495.0005,6010.755,5533.5425,88.97599,3438.5994,58.605045,1871.2112,24556.453
"GSM543208","Tumor",1812.588,4063.1753,1407.2399,2630.444,1799.8306,281.47067,513.5219,24344.273
"GSM543209","Tumor",1845.4601,7375.402,1842.117,165.15886,1772.1366,75.08434,453.46286,15183.561
"GSM543210","Tumor",1790.1246,7477.7085,457.98398,3048.9558,957.1393,90.41832,797.90533,12069.619
"GSM543211","Tumor",2940.1367,12407.777,2242.342,15.702302,2341.1826,209.15544,1336.5449,17393.088
"GSM543212","Tumor",931.88245,6245.1045,1142.0814,7785.262,1031.0211,122.761505,1046.1992,14259.284
"GSM543213","Tumor",1029.0077,20218.463,781.1682,4497.7295,1909.9531,172.6291,693.21844,13930.669
"GSM543214","Tumor",1687.0225,10175.472,4115,5891.8877,7430.7446,124.404366,658.61945,23659.084
"GSM543215","Tumor",1658.8916,5015.246,2669.786,5858.484,4568.818,112.64578,372.0504,13505.363
"GSM543216","Tumor",1642.6425,15240.053,6558.788,1742.2651,6725.819,189.93747,1733.6602,23241.254
"GSM543217","Tumor",2911.7646,5145.994,977.04065,3945.0593,2759.653,89.78935,880.937,14388.264
"GSM543218","Tumor",6183.2173,4368.3696,7465.238,13571.096,7515.276,127.91203,1017.42816,34836.086
"GSM543219","Tumor",2479.847,4786.294,2080.503,2198.0127,2548.707,167.88248,732.9173,33030.84
"GSM543220","Tumor",397.9097,2746.7786,359.43637,1080.4398,735.91364,74.00965,465.7623,11415.907
"GSM543221","Tumor",2025.2534,4044.9119,1112.8422,624.0768,1703.3751,66.49255,949.30505,10224.6455
"GSM543222","Tumor",4480.583,6435.6953,670.22876,23501.137,1771.7839,55.330364,769.03143,13568.808
"GSM543223","Tumor",1880.1099,6386.7754,143.32803,4782.5747,3111.6543,257.86127,936.0597,20839.328
"GSM543224","Tumor",5050.0234,7055.8076,2997.895,1313.1493,4961.8154,261.24017,1822.6266,46731.44
"GSM543225","Tumor",6853.1465,6149.06,7826.9766,1375.5071,4580.3604,65.92458,808.29553,34538.875
"GSM543226","Tumor",6090.161,10545.702,794.03906,160.69925,3459.0605,186.81438,1413.1162,51270.375
"GSM543227","Tumor",796.35297,3715.134,418.85446,15423.431,1189.7809,47.900753,382.9919,7570.6973
"GSM543228","Tumor",1463.8098,3963.1365,3220.5032,41511.316,1284.7233,52.67671,538.07904,10883.571
"GSM543229","Tumor",881.3634,2026.7172,7451.2314,322.3807,3887.5344,146.39905,271.227,2367.4587
"GSM543230","Tumor",3068.2422,3023.3367,418.1421,333.5911,3870.2344,85.90211,496.34888,8030.873
"GSM543231","Tumor",3525.2603,5521.963,1030.4379,632.9695,3510.554,71.67304,949.1332,13675.522
"GSM543232","Tumor",5518.8975,5141.3936,2667.2297,274.20526,12634.376,268.1259,697.4351,4757.781
"GSM543233","Tumor",4140.652,11891.181,4174.718,23594.674,7719.1924,253.97993,872.38995,23893.72
"GSM543234","Tumor",3065.3613,8579.858,288.33597,4309.367,1887.2659,92.01712,512.45374,22089.107
"GSM543235","Tumor",1472.56,5769.6133,128.4334,551.85876,8499.806,124.041374,871.9737,10187.66
"GSM543236","Tumor",2200.6587,10092.125,486.30652,2706.306,3835.7007,219.38722,964.3934,19060.936
