"PC-1"	"PC-2"	"Batch"	"Group"
"GSM615897"	-27.4707602895997	12.5659632801668	"GSE25070"	"Normal"
"GSM615898"	-24.2417716797766	10.9522245486605	"GSE25070"	"Normal"
"GSM615899"	-17.2772188675802	15.5193856665921	"GSE25070"	"Normal"
"GSM615900"	-24.4118813362312	1.39238260761946	"GSE25070"	"Normal"
"GSM615901"	-24.995238510501	17.6342958094591	"GSE25070"	"Normal"
"GSM615902"	-13.1612205096487	13.2383990848389	"GSE25070"	"Normal"
"GSM615903"	-27.2999316471812	17.2862750998167	"GSE25070"	"Normal"
"GSM615904"	-26.4064888113692	18.391036569316	"GSE25070"	"Normal"
"GSM615905"	-32.9398050365094	13.8726291532958	"GSE25070"	"Normal"
"GSM615906"	-30.6989823890015	17.742072031463	"GSE25070"	"Normal"
"GSM615907"	-26.0586543589905	18.1349353176043	"GSE25070"	"Normal"
"GSM615908"	-15.924578289792	7.09150830122151	"GSE25070"	"Normal"
"GSM615909"	-24.8929290672071	16.4006890959453	"GSE25070"	"Normal"
"GSM615910"	-35.2423450993118	14.8282183282141	"GSE25070"	"Normal"
"GSM615911"	-36.3094358365353	4.36812032171242	"GSE25070"	"Normal"
"GSM615912"	-33.862412113124	12.225589037901	"GSE25070"	"Normal"
"GSM615913"	-15.5701863800323	9.833654366246	"GSE25070"	"Normal"
"GSM615914"	-16.7888637750554	18.2342286504129	"GSE25070"	"Normal"
"GSM615915"	-22.9834549474647	22.0125740040862	"GSE25070"	"Normal"
"GSM615916"	-26.6214491689447	14.4202480202999	"GSE25070"	"Normal"
"GSM1014798"	-27.668667425769	20.4977650432715	"GSE41328"	"Normal"
"GSM1014799"	-24.8699183939558	12.7298782624984	"GSE41328"	"Normal"
"GSM1014800"	-9.85485176938078	14.0320019082079	"GSE41328"	"Normal"
"GSM1014801"	-13.3725394056333	10.9122764150658	"GSE41328"	"Normal"
"GSM1014802"	-21.4704291368855	11.7499864272915	"GSE41328"	"Normal"
"GSM1014803"	3.2596874946217	4.64894623245345	"GSE41328"	"Tumor"
"GSM1014804"	21.1552695363331	5.60156096926748	"GSE41328"	"Tumor"
"GSM1014805"	20.7393470601073	-10.9417063875728	"GSE41328"	"Tumor"
"GSM1014806"	33.3752907302236	-19.868749889291	"GSE41328"	"Tumor"
"GSM1014807"	22.9171914417184	-37.1065115340439	"GSE41328"	"Tumor"
"GSM1014808"	-31.3535535485242	12.8471314020447	"GSE41328"	"Normal"
"GSM1014809"	-32.9995427255254	-3.21593128261498	"GSE41328"	"Normal"
"GSM1014810"	-13.2017192525656	7.94252676785111	"GSE41328"	"Normal"
"GSM1014811"	-11.2998234724552	13.9449500543	"GSE41328"	"Normal"
"GSM1014812"	-14.7770975476647	25.0385171400025	"GSE41328"	"Normal"
"GSM1014813"	4.16816456827049	5.48246222552999	"GSE41328"	"Tumor"
"GSM1014814"	17.6917775823645	-1.50375359922714	"GSE41328"	"Tumor"
"GSM1014815"	20.758910398836	-11.6337953901459	"GSE41328"	"Tumor"
"GSM1014816"	34.9306185141488	-16.9969314483512	"GSE41328"	"Tumor"
"GSM1014817"	22.7896194847833	-38.8262817817878	"GSE41328"	"Tumor"
"GSM1923670"	18.2871927903576	17.5115901080884	"GSE74602"	"Tumor"
"GSM1923671"	-17.4224299141258	9.61389206173766	"GSE74602"	"Normal"
"GSM1923672"	64.6971510502264	21.4755511692418	"GSE74602"	"Tumor"
"GSM1923673"	-17.2168952511523	11.2064747931023	"GSE74602"	"Normal"
"GSM1923674"	18.839583586541	-6.82704113454062	"GSE74602"	"Tumor"
"GSM1923675"	-29.17614238146	-9.49833146746332	"GSE74602"	"Normal"
"GSM1923676"	35.1802698791093	1.50621028366147	"GSE74602"	"Tumor"
"GSM1923677"	-35.2867276165472	-15.0675711568567	"GSE74602"	"Normal"
"GSM1923678"	49.5478719278941	1.36449448055244	"GSE74602"	"Tumor"
"GSM1923679"	-33.6445856531132	6.75451004418392	"GSE74602"	"Normal"
"GSM1923680"	21.3892299981612	-12.2892822325315	"GSE74602"	"Tumor"
"GSM1923681"	-30.2497871557985	24.2566830542392	"GSE74602"	"Normal"
