"PC-1"	"PC-2"	"Batch"	"Group"
"GSM615898"	-182.385763711317	31.4824272157964	"GSE25070"	"Normal"
"GSM615899"	-181.231388856147	33.8656341305648	"GSE25070"	"Normal"
"GSM615900"	-182.82652956582	31.1970047064286	"GSE25070"	"Normal"
"GSM615901"	-182.370621524995	32.3101451818638	"GSE25070"	"Normal"
"GSM615902"	-180.668187686485	34.5981474743712	"GSE25070"	"Normal"
"GSM615903"	-181.796540614113	31.967116499779	"GSE25070"	"Normal"
"GSM615904"	-180.755746322623	32.8071026190631	"GSE25070"	"Normal"
"GSM615905"	-181.575242463558	31.3302016997836	"GSE25070"	"Normal"
"GSM615906"	-180.509360679106	30.3110124130076	"GSE25070"	"Normal"
"GSM615907"	-180.892100736722	29.5050459792138	"GSE25070"	"Normal"
"GSM615908"	-181.879501493205	30.9995823643556	"GSE25070"	"Normal"
"GSM615909"	-179.80633182524	33.6909076046	"GSE25070"	"Normal"
"GSM615910"	-180.962162389975	29.9120884215503	"GSE25070"	"Normal"
"GSM615911"	-181.606394675882	29.9725156719607	"GSE25070"	"Normal"
"GSM615912"	-181.897682036221	29.6216539192831	"GSE25070"	"Normal"
"GSM615913"	-180.941605828298	33.1642723211025	"GSE25070"	"Normal"
"GSM615914"	-181.005610072801	32.9086772409456	"GSE25070"	"Normal"
"GSM615915"	-182.417537710504	34.1401909096724	"GSE25070"	"Normal"
"GSM615916"	-182.498870311749	32.1850614127186	"GSE25070"	"Normal"
"GSM1014798"	98.3562564121322	123.62022599458	"GSE41328"	"Normal"
"GSM1014799"	100.589619112243	118.568133883099	"GSE41328"	"Normal"
"GSM1014800"	103.378098910938	122.587499262538	"GSE41328"	"Normal"
"GSM1014801"	106.333660808704	123.672206240247	"GSE41328"	"Normal"
"GSM1014802"	105.231434141637	120.782271045704	"GSE41328"	"Normal"
"GSM1014803"	97.7692524647172	122.062591866917	"GSE41328"	"Tumor"
"GSM1014804"	91.901781151014	122.047868226028	"GSE41328"	"Tumor"
"GSM1014805"	95.2140025419074	119.856467966908	"GSE41328"	"Tumor"
"GSM1014806"	97.34758062566	116.333506219236	"GSE41328"	"Tumor"
"GSM1014807"	123.254017371361	115.207167348635	"GSE41328"	"Tumor"
"GSM1014808"	104.288964042692	121.068914026555	"GSE41328"	"Normal"
"GSM1014809"	114.910656003877	114.466860935055	"GSE41328"	"Normal"
"GSM1014810"	110.162447733935	121.621563449737	"GSE41328"	"Normal"
"GSM1014811"	103.178082005984	123.337692528755	"GSE41328"	"Normal"
"GSM1014812"	96.7405430421759	121.979227122236	"GSE41328"	"Normal"
"GSM1014813"	101.778012654681	120.431526045166	"GSE41328"	"Tumor"
"GSM1014814"	98.4321799326355	120.668840232681	"GSE41328"	"Tumor"
"GSM1014815"	98.1938519156057	119.373004548595	"GSE41328"	"Tumor"
"GSM1014816"	96.0163506818217	116.721883262942	"GSE41328"	"Tumor"
"GSM1014817"	127.761999276358	114.799786733424	"GSE41328"	"Tumor"
"GSM1923670"	-155.910600132348	-29.1569747314816	"GSE74602"	"Tumor"
"GSM1923671"	-131.732604197196	-31.1226369469159	"GSE74602"	"Normal"
"GSM1923672"	-168.77857400374	-33.1391530717642	"GSE74602"	"Tumor"
"GSM1923673"	-128.219748783368	-37.0792425114608	"GSE74602"	"Normal"
"GSM1923674"	-126.250509403221	-33.2194474177343	"GSE74602"	"Tumor"
"GSM1923675"	-94.8794425844341	-30.1078381341817	"GSE74602"	"Normal"
"GSM1923676"	-127.77011289812	-35.1156707873559	"GSE74602"	"Tumor"
"GSM1923677"	-101.148471966696	-33.8019759853444	"GSE74602"	"Normal"
"GSM1923678"	-139.017305653064	-27.7975222812158	"GSE74602"	"Tumor"
"GSM1923679"	-123.76378152141	-30.6388760151824	"GSE74602"	"Normal"
"GSM1923680"	-136.178411360554	-32.6111094356543	"GSE74602"	"Tumor"
"GSM1923681"	-142.745709537986	-32.400280630122	"GSE74602"	"Normal"
"GSM1923682"	-137.939220361622	-26.2054095125171	"GSE74602"	"Tumor"
"GSM1923683"	-108.739256112631	-40.0432151717941	"GSE74602"	"Normal"
"GSM1923684"	-139.410261053812	-27.747576917178	"GSE74602"	"Tumor"
"GSM1923685"	-38.2194844564769	-26.1296135840956	"GSE74602"	"Normal"
"GSM1923686"	-140.931535897648	-23.1236854256401	"GSE74602"	"Tumor"
"GSM1923687"	-141.890656351862	-31.6808731117802	"GSE74602"	"Normal"
"GSM1923688"	-128.539419111028	-28.9747813457847	"GSE74602"	"Tumor"
"GSM1923689"	-147.13515286376	-31.844300026888	"GSE74602"	"Normal"
"GSM1923690"	-153.882508700271	-31.4959851567363	"GSE74602"	"Tumor"
"GSM1923691"	-131.805039910627	-28.9030322464739	"GSE74602"	"Normal"
"GSM1923692"	-151.164066925184	-30.3701050545095	"GSE74602"	"Tumor"
"GSM1923693"	-67.9484870527399	-23.243366408846	"GSE74602"	"Normal"
"GSM1923694"	-158.010169948244	-33.0360937394117	"GSE74602"	"Tumor"
"GSM1923695"	-112.814339771524	-31.6727782729934	"GSE74602"	"Normal"
"GSM1923696"	-121.069579373329	-28.7359056274596	"GSE74602"	"Tumor"
"GSM1923697"	-101.208306122832	-26.7598968587865	"GSE74602"	"Normal"
"GSM1923698"	-137.530326986542	-28.9839016078714	"GSE74602"	"Tumor"
"GSM1923699"	-110.706400967697	-33.2179802470173	"GSE74602"	"Normal"
"GSM1923700"	-49.1303885143795	-21.7269161958488	"GSE74602"	"Tumor"
"GSM1923701"	-52.8970474080211	-19.2903326920491	"GSE74602"	"Normal"
"GSM1923702"	-134.039281783302	-32.7927238402198	"GSE74602"	"Tumor"
"GSM1923703"	-113.977375062271	-33.2142506117337	"GSE74602"	"Normal"
"GSM1923704"	-147.950524688914	-32.2156098738786	"GSE74602"	"Tumor"
"GSM1923705"	-146.813298128458	-38.4217272008356	"GSE74602"	"Normal"
"GSM1923706"	-120.042924473241	-39.7594146853114	"GSE74602"	"Tumor"
"GSM1923707"	-59.5425497190026	-35.6840342430486	"GSE74602"	"Normal"
"GSM1923708"	-101.846632713373	-37.8681748041342	"GSE74602"	"Tumor"
"GSM1923709"	-127.791674702598	-38.4133115411985	"GSE74602"	"Normal"
"GSM1923710"	-168.643714621247	-32.4076252534442	"GSE74602"	"Tumor"
"GSM1923711"	-147.527949696778	-37.2070496377772	"GSE74602"	"Normal"
"GSM1923712"	-152.704035277096	-39.8078185873262	"GSE74602"	"Tumor"
"GSM1923713"	-166.699877202799	-38.3597741731895	"GSE74602"	"Normal"
"GSM1923714"	-152.597077840709	-31.4126255513084	"GSE74602"	"Tumor"
"GSM1923715"	-155.455326515112	-39.552276844928	"GSE74602"	"Normal"
"GSM1923716"	-142.708418897118	-39.6682559211035	"GSE74602"	"Tumor"
"GSM1923717"	-129.433997433983	-33.3763467626038	"GSE74602"	"Normal"
"GSM1923718"	-140.12634263565	-29.7792188647005	"GSE74602"	"Tumor"
"GSM1923719"	-127.246987044371	-34.7626107446282	"GSE74602"	"Normal"
"GSM1923720"	-149.80069745697	-28.6466908169306	"GSE74602"	"Tumor"
"GSM1923721"	-131.8555152717	-32.9414008640063	"GSE74602"	"Normal"
"GSM1923722"	-136.851866120107	-31.0481419134736	"GSE74602"	"Tumor"
"GSM1923723"	-131.330685506621	-34.3110555873432	"GSE74602"	"Normal"
"GSM1923724"	-109.181525380117	-30.5726052612169	"GSE74602"	"Tumor"
"GSM1923725"	-97.2094000686623	-36.3563996736221	"GSE74602"	"Normal"
"GSM1923726"	-138.567929366938	-41.3988625453898	"GSE74602"	"Tumor"
"GSM1923727"	-102.853588718149	-37.6753940472846	"GSE74602"	"Normal"
"GSM1923728"	-138.470451972461	-39.8356998500088	"GSE74602"	"Tumor"
"GSM1923729"	-74.7926044540009	-33.863448965211	"GSE74602"	"Normal"
"GSM4224323"	585.242282068863	-14.8109926767166	"GSE142279"	"Normal"
"GSM4224324"	582.354515623924	-19.9529092468055	"GSE142279"	"Tumor"
"GSM4224325"	587.669855936697	-18.2726126160682	"GSE142279"	"Normal"
"GSM4224326"	576.665556471835	-24.8203277692382	"GSE142279"	"Tumor"
"GSM4224327"	588.066449333278	-25.9588686103328	"GSE142279"	"Normal"
"GSM4224328"	578.159963655919	-19.9985433668223	"GSE142279"	"Tumor"
"GSM4224329"	586.076362480165	-22.1891577236834	"GSE142279"	"Normal"
"GSM4224330"	589.38424874428	-16.5751940275742	"GSE142279"	"Tumor"
"GSM4224331"	585.557851949403	-19.6660931641082	"GSE142279"	"Normal"
"GSM4224332"	590.371168003779	-15.0884389337056	"GSE142279"	"Tumor"
"GSM4224333"	586.996598462582	-21.1542140985717	"GSE142279"	"Normal"
"GSM4224334"	585.112686922398	-17.4244199424382	"GSE142279"	"Tumor"
"GSM4224335"	575.095338707421	-27.3201940166846	"GSE142279"	"Normal"
"GSM4224336"	590.797670398985	-17.5335563554706	"GSE142279"	"Tumor"
"GSM4224337"	587.478480205279	-16.1984955882617	"GSE142279"	"Normal"
"GSM4224338"	582.873491091967	-12.4604747675035	"GSE142279"	"Tumor"
"GSM4224339"	588.992514687602	-16.4608668315548	"GSE142279"	"Normal"
"GSM4224340"	588.627601736073	-22.3475741147681	"GSE142279"	"Tumor"
"GSM4224341"	586.818026641176	-16.546457281712	"GSE142279"	"Normal"
"GSM4224342"	585.034911520975	-20.4701332775654	"GSE142279"	"Tumor"
"GSM4224343"	585.796174920399	-18.0699829062837	"GSE142279"	"Normal"
"GSM4224344"	590.64625312955	-15.9840818849658	"GSE142279"	"Tumor"
"GSM4224345"	589.879636056104	-19.0572320335683	"GSE142279"	"Normal"
"GSM4224346"	583.304159448333	-17.4249885615593	"GSE142279"	"Tumor"
"GSM4224347"	588.610373611732	-18.5076923631523	"GSE142279"	"Normal"
"GSM4224348"	584.962969003887	-17.7599130393832	"GSE142279"	"Tumor"
"GSM4224349"	584.631395098139	-14.8739580467971	"GSE142279"	"Normal"
"GSM4224350"	585.252082481674	-20.185535565336	"GSE142279"	"Tumor"
"GSM4224351"	585.81163085237	-23.5973486174458	"GSE142279"	"Normal"
"GSM4224352"	588.000694352924	-16.1918892239133	"GSE142279"	"Tumor"
"GSM4224353"	589.925955003035	-20.8045831638927	"GSE142279"	"Normal"
"GSM4224354"	585.908372028057	-17.663782761613	"GSE142279"	"Tumor"
"GSM4224355"	589.080985404297	-24.9863913197519	"GSE142279"	"Normal"
"GSM4224356"	585.853130873329	-18.2899004432806	"GSE142279"	"Tumor"
"GSM4224357"	584.515770405358	-11.9342434586202	"GSE142279"	"Normal"
"GSM4224358"	587.375646349399	-12.5259598944284	"GSE142279"	"Tumor"
"GSM4224359"	589.165890730848	-17.1325220487141	"GSE142279"	"Normal"
"GSM4224360"	584.121785144676	-18.1720997752711	"GSE142279"	"Tumor"
"GSM4224361"	588.31212022467	-19.4367032096022	"GSE142279"	"Normal"
"GSM4224362"	580.806003351269	-21.7472309965797	"GSE142279"	"Tumor"
