"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"PAICS",2.22317596566524,0.0155421157397216,0.44980694980695,0.331439393939394,33,5,FALSE,35.969696969697,0,33,0,0.986100273117441,FALSE,0,"PAICS",9886,0.224810606060606,119.866666666667,"Yes"
"PAQR4",3.13733905579399,0,0.318741450068399,0,1,6,FALSE,51,0,1,0,0.975712056184159,FALSE,0,"PAQR4",0,0,80.1166666666667,"No"
"PBK",2.13733905579399,0.00209125019291969,0.467871485943775,0.895480225988701,60,5,FALSE,60.4,0,60,0,0.987075692547796,FALSE,0,"PBK",4998,0.389677419354839,132.4,"Yes"
"PCLAF",2.37339055793991,0.000436290946158495,0.421338155515371,0.896103896103896,56,6,FALSE,59.5892857142857,0,56,0,0.984393289114319,FALSE,0,"PCLAF",758,0.476714285714286,123.733333333333,"Yes"
"PCSK9",3.24034334763948,0.0105606659967161,0.308609271523179,0,5,7,FALSE,5,0,5,0,0.974541552867733,FALSE,0,"PCSK9",3452,0.210526315789474,77.4928571428571,"No"
"PHLDA1",2.97424892703863,0.00178470062543183,0.336219336219336,0,3,6,FALSE,26.3333333333333,0,3,0,0.977565353101834,FALSE,0,"PHLDA1",596,0.337777777777778,86.3833333333333,"No"
"PLEK2",2.72961373390558,0.0096719491294067,0.366352201257862,0,3,6,FALSE,30.6666666666667,0,3,0,0.980345298478346,FALSE,0,"PLEK2",3650,0.337121212121212,91.9333333333333,"No"
"PLEKHG4",3.66952789699571,0,0.272514619883041,0,1,7,FALSE,27,0,1,0,0.969664455715958,FALSE,0,"PLEKHG4",0,0,69.2595238095238,"No"
"POLQ",2.65236051502146,0.000174895189101415,0.377022653721683,0.843915343915344,28,6,FALSE,58,0,28,0,0.981223175965665,FALSE,0,"POLQ",264,0.547169811320755,105.2,"Yes"
"POLR1C",2.65236051502146,0.00401625485556735,0.377022653721683,0.508771929824561,19,6,FALSE,20.8421052631579,0,19,0,0.981223175965665,FALSE,0,"POLR1C",2076,0.172248803827751,102.7,"Yes"
"PPA1",2.33905579399142,0.0164815077029281,0.427522935779817,0.384615384615385,13,5,FALSE,30.1538461538462,0,13,0,0.984783456886461,FALSE,0,"PPA1",5374,0.197083961789844,108.733333333333,"Yes"
"PPAT",2.62231759656652,0.00050473465814287,0.381342062193126,0.648351648351648,14,6,FALSE,29.5,0,14,0,0.98156457276629,FALSE,0,"PPAT",358,0.252136752136752,100.8,"Yes"
"PRC1",2.33047210300429,0.00057604876812807,0.429097605893186,0.892460549386324,59,6,FALSE,59.5932203389831,0,59,0,0.984880998829497,FALSE,0,"PRC1",1308,0.451463790446841,126.4,"Yes"
"PRDX4",3.1931330472103,0.000164294078346473,0.313172043010753,0.666666666666667,4,6,FALSE,10.75,0,4,0,0.975078033554428,FALSE,0,"PRDX4",90,0.398148148148148,78.1666666666667,"No"
"PRKDC",2.33476394849785,0.00315444027888857,0.428308823529412,0.680952380952381,21,5,FALSE,56.8571428571429,0,21,0,0.984832227857979,FALSE,0,"PRKDC",3376,0.37406015037594,112.1,"Yes"
"PROX1",3.63948497854077,0,0.274764150943396,0,1,7,FALSE,8,0,1,0,0.970005852516582,FALSE,0,"PROX1",0,0,67.2761904761905,"No"
"PSAT1",2.34763948497854,0.0190439702112436,0.425959780621572,0.477941176470588,17,5,FALSE,22.6470588235294,0,17,0,0.984685914943426,FALSE,0,"PSAT1",5990,0.152623211446741,109.9,"Yes"
"PTTG1",2.12875536480687,0.00594892715662525,0.469758064516129,0.785245901639344,61,5,FALSE,57.1967213114754,0,61,0,0.987173234490831,FALSE,0,"PTTG1",6674,0.366645649432535,133.066666666667,"Yes"
"PUM3",2.99570815450644,0.000450583378498391,0.333810888252149,0.791208791208791,14,6,FALSE,19.7857142857143,0,14,0,0.977321498244245,FALSE,0,"PUM3",324,0.319124423963134,89.1,"No"
"PUS1",2.98712446351931,0.000201002047409143,0.334770114942529,0.818181818181818,11,6,FALSE,20.3636363636364,0,11,0,0.977419040187281,FALSE,0,"PUS1",214,0.313286713286713,88.2666666666667,"No"
"PUS7",2.87124463519313,0.000708683250099781,0.348281016442451,0.651515151515151,12,6,FALSE,21.25,0,12,0,0.97873585641826,FALSE,0,"PUS7",610,0.220486111111111,93.7666666666667,"No"
"RAD51AP1",2.36480686695279,0.000379629056647649,0.422867513611615,0.906641604010025,57,6,FALSE,59.7719298245614,0,57,0,0.984490831057355,FALSE,0,"RAD51AP1",812,0.474380395433027,124.4,"Yes"
"RANBP1",2.75107296137339,0.00257405505815124,0.363494539781591,0.218181818181818,11,6,FALSE,30.1818181818182,0,11,0,0.980101443620757,FALSE,0,"RANBP1",1472,0.266291230893001,96.9333333333333,"No"
"RCC2",2.69957081545064,0.00278835080931812,0.370429252782194,0.771428571428571,15,6,FALSE,59.0666666666667,0,15,0,0.98068669527897,FALSE,0,"RCC2",3206,0.556603773584906,99.0333333333333,"No"
"RFC4",2.11587982832618,0.00348663641593869,0.472616632860041,0.773681515616999,63,5,FALSE,56.8888888888889,0,63,0,0.987319547405384,FALSE,0,"RFC4",5648,0.362349610757254,134.233333333333,"Yes"
"RNASEH2A",2.41630901287554,0.00312839024267065,0.413854351687389,0.696969696969697,34,6,FALSE,55.8529411764706,0,34,0,0.983905579399142,FALSE,0,"RNASEH2A",2390,0.41068339100346,114.683333333333,"Yes"
"RNF43",2.69527896995708,0.0121061443736077,0.371019108280255,0.4,5,6,FALSE,22,0,5,0,0.980735466250488,FALSE,0,"RNF43",6234,0.229473684210526,93.85,"No"
