"","group","CDC25B","CDK4","IQGAP3","MMP1","MMP7","SLC7A5","TEAD4","TRIB3","UHRF1"
"GSM1014798","Normal",8.2889185494667,8.59387431769135,7.48929741350031,5.67125956442758,5.33618055327832,6.94708124343986,6.68538036888958,7.34106888824884,6.33885771962733
"GSM1014800","Normal",8.67256479128594,9.2619564914988,7.08555568984279,6.44178120763603,5.48897489408181,7.59446136360786,6.58612763900662,7.50016577446269,7.14152702379104
"GSM1014802","Normal",8.55903449600141,8.68858337680177,7.98123031889246,6.68111051024299,5.26069068494622,6.85234764927825,6.60738188107152,7.43328685048751,6.67802423634205
"GSM1014803","Tumor",9.62131402784464,9.81714183797435,7.73382250152383,10.989614722567,8.10194906045114,9.40735793140973,7.46278033749788,8.46166052508693,7.60251490461023
"GSM1014804","Tumor",9.85534745970011,10.3262886835843,7.64924955659429,10.1713550560315,6.79476790327035,10.0657122616082,8.41688436193494,7.30657955505002,8.45083678992434
"GSM1014805","Tumor",11.0353206458356,10.1714953955848,7.91427459935715,8.10666797604143,7.8160441296511,9.35608826955407,8.76374882633738,8.81556118271243,8.28261639113179
"GSM1014806","Tumor",11.307056323634,10.4386846027663,8.21128675379931,11.2638780405314,11.9866662867378,10.3684355124948,8.89532141697254,8.68675122898209,7.66682496854015
"GSM1014807","Tumor",9.89470929298332,10.0407675260907,7.92083307479586,8.31159284685022,10.1425370941144,10.3081377227677,7.78329300887942,8.85495046337009,9.58499222679841
"GSM1014808","Normal",8.18689078838709,8.46061533601728,7.50847016367584,5.74826166936527,5.4970697668232,6.926102616319,6.62302680995437,7.66783984486095,6.12694570517311
"GSM1014809","Normal",9.14237635221665,8.3258536997568,8.29355334935578,4.45379533104581,5.54848774568154,7.25369255732982,6.94332103193188,7.58346510012197,6.98426502074153
"GSM1014810","Normal",8.70105236147468,9.13630816831287,7.22761893281966,6.21578123663756,5.44707198797089,7.44806171416009,6.80517387495876,7.31180511082143,7.08591401392161
"GSM1014811","Normal",8.80352793568295,9.16990949817447,8.04771633349724,7.32132033136471,5.61624694217462,7.94785545886877,7.20593543351169,6.864991297065,7.22415544979615
"GSM1014813","Tumor",9.8725262959783,10.1269043643321,7.17781059816318,10.9298866094354,8.34077098308505,9.15139833332407,8.2427722673291,7.71676241836911,7.30559078093814
"GSM1014815","Tumor",11.2102168104998,10.3277301165889,7.68093322934377,8.16006284033125,7.91201233862027,9.2643736538486,9.21577797422317,8.29014263923079,8.29110588275333
"GSM1014816","Tumor",11.3484751270701,10.4478690366504,7.62847457139244,11.3093786428904,11.823196957417,10.1725277358999,9.23458362274416,8.85331891344105,7.83987653361818
"GSM1014817","Tumor",10.1080237284292,10.327927317013,7.42948988086344,8.31073255338012,10.2927675709516,10.1337171729569,8.06409763303299,8.57229562706839,9.37733692765042
"GSM1923670","Tumor",10.5349563488845,9.52276003446814,7.88570799145112,9.556134991113,7.84927629390162,8.69302720951072,7.76364544444334,8.01880915318775,7.73772212486038
"GSM1923671","Normal",8.86703174123713,8.92533722501017,6.58754889487339,6.02957945441865,6.27709284252657,7.8752407579379,6.86668723825817,6.95666640923344,7.21754806988653
"GSM1923672","Tumor",12.2872912580166,11.2234358465654,9.30783806571409,10.240416699469,10.8559875168973,10.1491097309273,8.8786930091259,10.0588069131444,10.1489888438662
"GSM1923673","Normal",9.14038195658479,9.13997967996137,6.30051682577602,7.87945102801565,6.09644114859502,8.42450907158215,7.76716102777833,7.01585384691212,6.94889421020314
"GSM1923674","Tumor",9.40728254573806,10.2335142066916,8.54854513988103,10.5752091968816,12.4712935127135,9.85261689975304,8.27794939123429,8.73776714604541,8.27304143930681
"GSM1923675","Normal",8.58820373347884,8.3393027017135,6.69473806562425,5.69823495782026,5.53453213534026,7.02263095747408,6.63276535150591,6.08264697502771,6.32557099300405
"GSM1923676","Tumor",11.5412960932409,11.2858205550489,8.9999795596624,11.3606125604438,6.72064625696065,11.0670348164045,8.73910797664551,9.91031617937174,9.27994989361317
"GSM1923678","Tumor",10.1244636591923,10.8680129554663,9.71965404914801,11.140144590637,9.7088045126778,10.4816959371859,8.55283221324131,9.35262612036953,9.44546646773215
"GSM1923679","Normal",8.7285368230207,8.61497794471228,6.78192112234347,6.75427968995276,5.79035698765592,7.74826367458713,6.52407346696238,6.81083651678284,6.90276739341679
"GSM1923681","Normal",9.07654458402035,8.90373032949983,7.05757917100287,7.48399529516813,5.35496092626128,7.61874251580107,7.10528554269428,6.71827431090779,6.86320975674036
"GSM1923682","Tumor",10.3674314270291,10.2187600579096,8.36804661284906,7.8776751256048,8.46273173914741,9.72459169591266,8.55599813380197,9.6785427138633,8.66363495010424
"GSM1923683","Normal",8.50848101627728,8.87694830473549,6.76617451652495,5.75801607809858,5.389767600588,7.78745145955678,6.7401477368101,7.25224805796187,6.19712031844681
"GSM1923685","Normal",7.95547674695725,7.49568977141198,5.71636825059177,5.13720059894701,5.11317262055009,5.99260144620118,5.90784971768608,5.98581097882141,5.92701744910754
"GSM1923686","Tumor",9.9199142318345,10.5625081137802,8.69534956180498,9.15824680703521,10.5839123391007,10.2981641144109,8.86944132836707,9.15094249990483,9.26479965732796
"GSM1923688","Tumor",10.4104613915012,10.8275619065398,8.70962320116138,9.80132529518547,10.7365229673898,9.66113922748237,8.61319976864811,9.12010958510939,8.16595296244551
"GSM1923689","Normal",9.20580388633666,9.02520998536244,6.44843767189638,6.03951814202488,5.51415427928137,7.58879662293167,7.00220259664591,6.79245279091246,6.90082125318048
"GSM1923695","Normal",8.5025675013975,8.2538870265452,5.83729770455617,8.3198949298841,5.36868357683367,7.1491812381342,6.28187140566933,6.34319479118108,6.63390658609037
"GSM1923696","Tumor",10.3808031512133,10.0092749844729,8.3929537318069,11.4055696378638,7.42627336035227,8.79534393420424,7.82884635837184,9.37773056195151,8.38272914853462
"GSM1923698","Tumor",10.3283603765505,10.5342701679832,9.42299224270833,10.5919401005002,11.7099152371421,10.6755508308712,9.30527780189969,9.57658532455015,8.37587640408393
"GSM1923700","Tumor",9.03501261007771,8.59193567943572,7.23111384235736,11.5714433259365,8.68998677831835,7.16721636496527,7.81370110479651,6.75616503986982,6.63635623028795
"GSM1923701","Normal",7.71556642803897,7.69717153752669,5.92161172263964,5.75801607809858,5.19102630753285,6.52516536014342,6.04276783017204,5.79512567037182,5.85630660103649
"GSM1923702","Tumor",11.0702976667105,10.8946892649537,8.82493186430897,9.24973558681011,10.2909604508249,10.2352218881163,8.74457841724726,9.92997958987535,8.60363870701944
"GSM1923704","Tumor",10.8245011971165,10.500071035864,8.95401545959139,7.19192402175675,12.2474146749398,10.4326386738919,8.90929840643356,10.3092498774716,8.83066351523097
"GSM1923707","Normal",6.8002157409298,8.90133253974049,6.93401414773828,5.72638183965975,5.21830242004316,8.21508023568546,6.79064345210897,6.45260723219697,5.56929261237381
"GSM1923708","Tumor",10.6225508488623,9.70410269567422,8.79207916055153,9.83609985970686,8.87885287115128,9.39199291361492,8.90292196476325,8.76414995581403,7.9320239068876
"GSM1923709","Normal",9.44010040850102,9.08137119658532,6.31011679064908,5.51752538862775,5.56257458973709,7.92584836954975,7.15340389186179,6.98189547183225,6.45901132558625
"GSM1923711","Normal",9.41177541702566,9.17081208019007,7.42218157015474,6.87523239349837,5.98930361926842,7.78943020923045,6.93958744425191,6.84688981657476,6.77198768923844
"GSM1923712","Tumor",10.9173129315978,10.8286133008368,8.30506086198629,5.57388253186572,9.97652520324426,10.4854120560477,8.65104043666757,11.4657173866167,7.57289719110631
"GSM1923713","Normal",9.72989762880764,9.47620625661985,7.68090630647638,6.66002261559783,5.6522102736467,8.34435764988122,7.17122541824517,7.40860485773229,7.02937495842186
"GSM1923714","Tumor",10.997446955714,10.3885121884797,8.8978790233978,8.49364404992633,10.1369684373472,9.46568895896701,8.79803580171716,8.99642198809387,9.07640750179989
"GSM1923715","Normal",9.35930700898291,9.22047301703367,6.73674001023961,5.68766493896045,5.49486513821495,7.56870979116102,6.66772993881316,6.76349882061347,6.65432443886924
"GSM1923716","Tumor",10.8140322170716,10.83947734121,9.04253863353695,9.6324813492594,7.11435392137656,10.1326599610258,9.0549185768897,9.22417274576733,8.57413634808699
"GSM1923717","Normal",8.83862766624988,8.54648896155155,6.57619674389108,6.91730937092945,5.2216750810041,7.35367548805889,6.64124425092032,6.91357223379098,6.56884644007259
"GSM1923718","Tumor",11.3644354761004,10.6598413904831,8.77336622644012,11.3721664998419,9.93915749676377,9.88415682780845,8.96046823858905,9.26976243891851,8.96925941705696
"GSM1923719","Normal",8.96800101090578,9.29050649869839,6.95965072079259,6.12592832555661,5.35496092626128,7.47560542066983,6.86432243631921,6.62112874605046,6.62257104877788
"GSM1923720","Tumor",9.45178829186239,10.472003777478,8.88356552232544,6.42456574066058,9.23621911404771,9.98657131066139,8.59308434663764,7.45309120340334,9.45633957102033
"GSM1923723","Normal",8.63066606108816,8.64010630170434,6.20179850554197,6.17772075141101,5.12043080815725,7.19794203471355,6.44119866533629,6.46550835212587,6.95337027462164
"GSM1923724","Tumor",9.68191464901751,10.2112100210163,8.65069169840308,9.96975333076792,6.51458289541693,9.04833830847448,8.48246719132046,7.76069155863882,8.21923603221323
"GSM1923725","Normal",8.78047817348649,8.75257157198863,6.53503101983974,5.25906184670295,5.34573762727063,6.8556735311279,6.67529580202713,6.13153087459165,6.55107275291817
"GSM1923726","Tumor",10.7413599157269,10.0763423643664,8.85327736891826,12.5858238799446,10.6479480011118,8.92856346503517,8.74061467680946,9.06086697645216,8.45249089979018
"GSM1923727","Normal",8.72555390899555,8.54149977517526,6.11876966552567,6.72827855606135,5.08190098946884,7.77784565685014,6.42879080186145,6.69925342391903,6.43771434147017
"GSM1923728","Tumor",11.0028136803817,11.1261386472135,9.48775003293986,10.9168058574706,9.38356317028276,11.6379988894689,9.89559630858121,9.66351024300395,9.44815107295952
"GSM1923729","Normal",8.162761968087,7.85475607348071,5.95038593036692,6.43393798744389,4.98169396614086,6.75390929730854,5.88518606121928,6.50644490088436,6.06552332261142
"GSM277495","Normal",8.13280989351123,8.07288089848839,6.43939570672669,6.29536535254585,5.87885223285595,7.96249576029699,6.13524204977856,6.61351372935539,6.49184823004672
"GSM277496","Tumor",9.91707907186288,10.0865797740338,8.4756564313141,10.3620591261279,6.10134504501212,9.1993308739817,8.08788362167699,9.49931331077004,8.31822894474707
"GSM277498","Tumor",11.1229863433027,10.7979893719884,9.17722964429831,9.26143632061556,9.20993401983764,9.90801971818558,8.6799086329618,9.18874069093778,9.75361211306518
"GSM277499","Normal",8.26577751072558,7.83950972521292,7.09205947849335,6.29881465376218,5.62256619589092,6.12967634570174,6.56675368820315,6.17227191006253,6.23680248755491
