"","group","CDT1","CDC25B","GZMB","PLAU","AHCY","RAD54L","SHMT2","TFDP1","MCM7","CDC20","CENPF","CHEK1","CDKN3","RAD51AP1","DKC1","PBK","EXO1","PPAT","MTHFD2","AURKA","MCM2","CDCA5","AURKB","MMP7","KIF2C","TOP2A","CDK4","PSAT1","ASF1B","KIF20A","TROAP","CCT2","TEAD4","IMPDH2","SOX9","LMNB2","CDCA8","CDC25A","UBE2T","CCNB1","UBE2C","MET","BOP1","FBL","CKS1B","SLC7A5","TACC3","RFC4","MMP1","NUSAP1","PRC1","MELK","BUB1B","TIMELESS","DDX21","BUB1","CDCA7","CDCA3","ANLN","POLQ","DTL","CEP55","ODC1","ACTL6A","PTTG1","MYC","CKS2","CHTF18","DNMT1","ATAD2","HSPD1","RRS1","PRKDC","MCM4","PAICS","MAD2L1","CXCL6","HMMR","E2F5","MMP3","UHRF1","CCNA2","TRIB3","CXCL1","TTK","CXCL10","TPX2","KIF11","TRIP13","KIF4A","CENPA","CCNB2","HSPE1","PPA1","TK1","TYMS","MCM3","STIL","SLC2A1","KIF15","RNASEH2A","IQGAP3","ASPM"
"GSM1014799","Normal",7.14200574078728,9.25563096564721,6.15216452033147,6.95488739054074,8.7930813207018,6.86427616688759,9.92600130116013,8.54285626010062,10.587743652826,10.9416212320963,7.19082874924086,6.38294971882704,7.18534040111629,7.09978248564608,8.7371071319646,7.13622516059571,6.32814475038343,6.68776424937377,7.62569795129467,8.39686387547755,7.41610694767772,8.34742723070203,7.93989470964103,5.77987422538453,7.55319838394424,9.27896495522733,8.44417499306399,6.92062384645939,7.71747371828298,7.55960559040092,6.47139754709546,8.77905373468341,7.55854577865165,10.5929647362819,9.01463781100744,9.17715336947558,7.49898193580088,7.62811675214809,6.66677231154456,7.5825284916664,8.38660591356034,7.42654273186549,9.8900919352906,9.65303186777771,8.05693785122829,7.37974799130012,8.77608326808421,7.37159633784224,4.78660866051023,8.36918187437386,7.89407075463256,7.32568619425696,7.52591215370287,8.10948275253974,8.22440725864709,7.50208544715894,8.16201896521725,7.31078017070592,6.25951214938943,7.55874233254253,7.50318952130185,8.07472038408615,9.49331336461428,8.52337314961122,8.91454539700051,7.66857244064592,8.724341716708,8.1249864019862,8.99519995279524,5.97763947774518,8.06483354794404,8.2350287130455,9.22328648124187,9.40788488498862,8.78893854924287,5.35727106008623,4.86206994575036,7.97945670908975,5.96063677584236,5.57384919999757,7.50886308410547,7.50021018179884,7.45399539684483,6.74796600990547,7.86592723115418,6.98798847949824,7.93481482928651,7.94652835516063,6.8064341726022,7.58891655324246,6.32264752040362,8.59367215855122,9.47663619351979,10.7766374161849,8.61656503282993,7.65902432422689,8.88720329961589,7.79218309730523,8.08032823996322,7.31919392449694,6.90314659485676,7.87256442484553,7.91222184152909
"GSM1014801","Normal",6.86109072765617,8.74187999575755,5.87927833752791,7.77118971077835,9.88231374141813,6.43178433634509,9.00901059171123,8.99489413650014,10.5092295314719,9.79751166770874,7.38852751268223,6.96224576952615,7.66100448435961,7.28564105608378,9.41307138677099,7.82527975866653,6.46236819001795,7.45186175359305,8.65249141949162,8.50867690227294,7.59701260094781,8.2432776669251,8.07477522996393,5.50410890019694,6.98700811825348,8.14123041395713,9.19981022811346,7.0905259132507,7.6603792193203,6.68293205471895,6.79100076235473,10.3168971350915,7.18326018378351,10.7075936305768,7.37446059565701,8.94880470214779,7.13099993087912,6.83515967528723,8.40767350123547,7.73132274509676,8.72216013887313,7.34788247283957,8.6624994508396,10.6737198770383,9.2832881212749,8.21211400022486,8.10904294732284,8.60435873105798,7.25002822835388,8.66201182156709,8.54762127158781,7.92482839873585,6.67410044124404,7.96850593824599,9.36653081293576,6.75214292314251,9.5771926065973,6.76423224546041,6.16864692594875,7.02729978418342,6.93907711359007,7.34067285822022,10.9328877972194,8.99873108358361,8.74553741597263,8.38024749587617,8.79717189572541,7.04813518596772,9.72651884472244,6.4166135497685,9.58799197522786,7.87491157674181,8.27623429607607,8.8733465391321,9.71555182883826,6.88487219188277,5.09088319940806,7.49436975134619,6.93512105006553,6.63508769970607,6.74816250653838,7.82239983871604,7.08357797167565,8.24802603671759,7.06172558909933,6.87412027867845,6.94717684609872,6.99522559321537,7.239988566134,6.1364604271553,6.94215981275387,8.76039975047217,10.6255277942951,11.7026037490052,9.01657712605554,9.34586677903874,8.61079093423679,7.68806140977425,7.4064713481945,6.59281013292223,7.71904701221336,7.9150819617616,6.65844396286979
"GSM1014802","Normal",7.14647729537765,8.48431770735512,5.98445262747197,7.64732908644352,9.81034975250581,6.1006295545091,9.00660306483475,8.93716310140964,10.378337545481,9.47717324481689,6.86819592123018,7.0898626218409,7.97520738160133,6.94979534191149,9.33210846633458,7.59451950519985,6.60816377765158,6.46104615113373,7.91602397525228,8.32477778103963,7.49293673408396,8.07602679866426,7.93461583552969,5.43368120441679,6.8168656589413,8.40612110112415,8.49948012706927,7.18716114461066,7.67196432102142,6.89038058843204,6.74855574679696,10.1065169765534,6.48852052597757,10.2967516505464,7.29222726962684,8.3216536962055,7.28345055477801,6.2873382753753,7.67540517613263,7.47246799139176,8.5492522727392,7.30487220332186,8.71637885345347,10.2272131950223,9.09999663533088,6.7657066097301,7.60994122939023,8.06882945106661,6.63053299039903,8.33706153623048,8.10606460532969,7.76842790820867,6.80924421751888,7.93273098748898,8.98580999886491,6.92961666040733,9.41268117274318,7.36299516658637,6.98455718390236,7.04070831983829,6.58799277593259,7.49042577394885,10.2529762627233,8.91424767890156,8.83643222040976,9.22572066211806,8.45374499106086,7.52548165742176,9.85481524405841,6.70325512048122,9.97236118254186,7.892458375906,8.20841121103641,8.49323646257818,9.90810075766697,7.17312159803778,5.25444109490484,7.05579346618968,6.68584303295718,5.91962756973575,6.45203831743302,8.12040721813832,7.45877985638201,5.98162407448967,7.40135705728204,6.1063896323849,7.18440709417386,6.95845079568421,6.87167420891083,6.42243223975507,6.93836432890341,8.72134281007021,10.6444353841144,11.0673264531108,8.63785233684013,8.58988216684236,8.38460445039526,7.91521727354705,7.55287803780018,7.60848286223119,7.40518583473323,7.87827807775525,6.95656785619654
"GSM1014805","Tumor",7.04478896305053,11.1059703027525,7.29482280670655,9.5340131054355,10.7531307176487,7.08298617546715,9.6565906427848,10.6498031162783,12.0512255985268,10.156216111478,6.77841697759495,6.44297826436742,8.38321481144875,7.74819424530009,10.911293767396,6.36065033232664,7.05015866751549,7.9579241177023,8.02718246741862,8.83232684068918,7.59745149878563,8.53253503372751,8.28286152283384,8.00501194406698,8.11662396623049,9.07634539789164,10.0912238173962,7.62541871295132,8.06603700369515,7.98938792305652,7.45672825361597,10.1580578776278,8.78927848938495,10.5910678089218,10.5953056220304,9.94162628370088,8.28635623747939,6.90251996540828,8.45344053294155,8.15573182952965,10.9330179289023,8.93383090473641,9.84079826975577,11.4438644937418,10.3539430357607,9.38909970011152,8.19458763908847,8.21787521487296,8.0273465626256,10.0871780723902,9.92033240487229,7.01690964481269,8.00452624265499,8.06045254774772,10.5359828489895,7.99207131270732,10.8881044171034,7.86841583470994,8.68427454201494,7.40680033488085,7.7282538262427,9.11032889689679,10.4394429057907,8.84520001643027,9.77110891926009,10.2670810046842,9.53153809110128,8.60332848016855,10.9401295771349,6.736947504844,9.64543490961177,8.65584468221159,8.72876746660684,8.2902061455928,9.84801651503567,8.33488160317951,6.63741904157877,7.80146525087425,7.31261836490848,8.62318063172163,8.15346284039223,8.3250144467321,8.97270776809131,9.38076927772998,7.7153698858013,8.42721861202798,8.59934574571144,8.39242432788057,7.85829100264335,7.94803989062536,8.04584245438414,10.0083302446431,9.93050462796294,12.248290818022,7.92467337498781,8.48229137870342,8.94288492954442,8.050064505384,8.77539729084454,7.01007539096634,8.35893952913884,7.80335119873023,8.98975631354075
"GSM1014808","Normal",7.10140022399746,8.09032789442773,6.64585886375478,7.62421124494334,9.23342051378341,6.13233814520068,8.75413120948065,8.98027388927107,9.29343452243236,7.86866599140612,7.9303714805907,5.79887139294234,6.16404756749701,6.46224677362369,9.10433565470318,6.31356028336407,5.67521272232627,6.79240327072152,7.62153284476022,7.14953452803043,6.70280027777291,6.4926190396133,6.54820920982811,5.67153824164975,5.94883316253009,7.7984471774793,8.25478139516967,7.15657152523086,6.59063181609283,5.65112436497062,5.50808462611656,9.68032225544806,6.50521304428629,10.4724722709674,8.98602209320908,8.44719795576869,6.47671622474006,6.50575371636956,6.66893615900204,6.02703479234066,7.0352543681279,7.45238847888566,8.47778150580174,10.321726460692,8.20205240400567,6.84298628852315,6.81384805635803,7.28837993615693,5.71649342830812,7.66030070631343,7.03542116641852,6.27778519719073,5.27974206328197,6.9894812468239,8.24581039272551,5.88953601766966,9.28109406498088,5.77275092805168,6.16717989877436,6.45142838623605,5.74930402247056,6.05333225060853,9.25348474800555,8.65504458372739,6.92394191514003,8.10248809013422,7.33267915667919,6.08257157772092,9.05429250682452,6.32291178690326,9.08079651504009,6.73153439888715,8.15868849960427,8.74733532688976,9.06501586829268,5.71121351623755,5.3535966730234,5.74135134721806,6.64450241141626,5.39156179356646,5.86770383455003,6.22148446514633,7.71567265738294,7.23620391262167,5.8901740929812,6.45053481815488,6.46012286430903,6.12645556959906,5.30244830803696,5.6466329637249,5.57594449516876,7.36289293703328,9.34556480036104,10.9282068297538,7.03455853928107,8.10697066389626,8.29013490785257,7.23466068370605,7.47315929432997,6.50978826580828,6.61261023192598,7.34923525357826,6.1118538272639
"GSM1014810","Normal",7.50775435860359,8.63467250606679,6.62839603340327,7.63266956735202,9.82463588668059,6.18796813239929,9.4345081269972,9.3130109069464,10.3984518273557,9.7348757388014,7.09279649592243,7.45016397731338,8.6305996822352,8.208388518095,9.278004441468,8.03657142899881,6.94754068577639,6.42077216612383,8.09855870101945,8.61083294372511,7.67264837429465,8.38342080512369,8.41440982173514,5.62122785271175,7.27078744567848,8.72091167132818,8.98006367003331,7.58865857392046,7.98959585863097,6.97223056262936,7.31476752311723,10.3959660094759,6.69955673483497,10.8044889051722,7.17698700632224,8.4727759761563,7.72343114191149,7.31540131860012,8.0155561243122,8.15505246626705,9.1556928609426,6.79353906851595,8.61423201221735,10.6506631725867,9.41199722762992,7.38988954185902,7.75203007082268,8.11250232701071,6.17458627445071,9.00083142028843,8.59667568559647,8.00403278505661,6.82827602959805,8.2233327744922,8.57309498290478,7.12191758396528,9.30638188099066,7.06498446954021,6.72030925459588,6.69615964473732,6.90964241167294,8.02673597077362,10.374908013051,9.64648830192253,9.64229574705261,8.10453933786296,9.21843201799816,6.59004270738174,9.39373239446487,6.77113409376662,9.52237828828728,7.26698221454596,8.22226409408566,8.75986079429052,9.87801166484791,7.64245681368836,5.51922851642494,8.32072794572931,7.01385129732279,5.92428941086956,6.88454303096204,8.52351543047125,7.32572768854827,7.6235455731309,7.80148069735761,6.43756535193405,7.4947753409758,8.18872243006808,6.66616651609224,6.4718312154904,7.64007385182343,9.23871716837144,10.5710542964584,11.5487015053505,8.67328627624096,9.00078127293518,8.62714000401386,8.13179835699559,7.83667997990489,7.40542920396388,7.99845981051879,7.03494834359606,7.76907249032276
"GSM1014811","Normal",7.25268468311393,8.7431637461062,6.59907574237837,7.95692199452124,10.0001982542492,6.55485537890923,9.4252021720092,9.11532489176549,10.6637113783538,9.68987445231131,6.77818124105607,7.26546811337643,7.73049347984752,7.58172228878412,9.78437465944361,7.89239051282656,7.14486520016345,7.71493504783906,8.6101795991368,8.56943225236746,8.01735857643845,8.32310905507456,8.1165789001698,5.79146056984306,6.87137998320204,8.19771222363596,9.01613101867999,7.23865814023388,8.00246976347553,6.70872824557289,6.92885906176202,10.0974899394227,7.1271534151182,10.630249777806,7.44962911568593,9.49578444122274,7.20422798091426,6.77544528105968,8.60969895801809,7.87866723593056,8.80207138245879,7.3202884660742,9.15319130960222,10.6246133286666,9.31179238173361,7.91356817129315,8.0726803936789,8.70311627502003,7.25783409096512,8.73418430055721,8.61396903888652,7.79110497698603,6.5902584159562,8.04507074688348,9.25613698775675,6.97834896793077,9.45267003124577,7.33969570892107,6.59254928098017,6.67573994614381,7.17507870598977,7.69871566905519,10.912446003895,9.09750779636886,8.83437440882445,8.56559008984402,8.7687836151974,7.17860654679754,9.82796940613688,6.83495846761028,9.45080972119419,8.02727648871754,8.20638815605041,8.87852870906305,9.75930692943269,7.04766851903732,5.3345818889662,7.36925511914798,7.02236585240529,7.17020846705704,7.03112692667905,7.71857746467187,6.83635746137033,8.21818622983455,7.0511114039938,6.99246456153006,7.18871404952607,7.05510165894615,7.37891024051492,6.62065557704541,7.36755421735531,8.83836243909987,10.8688844062132,11.6726802488889,9.16749862508928,9.28130014063446,8.94183388690103,7.95002157832265,7.5518532625061,6.84829168492905,7.76073587441018,7.95267933290896,7.07395478427194
"GSM1014813","Tumor",6.89078089071874,9.87491595734862,6.97032741748193,9.99695766276163,10.4591165450429,6.87222935542541,9.77754590063252,9.76153882658104,10.610935263305,9.45316800510351,6.77859376878623,7.4000943985964,7.4640202238217,6.83292784742207,10.4420699389815,5.98082284827645,6.82400688656013,7.70607315469024,8.03570953301991,8.8252740675188,8.48882564465963,7.77969199417694,8.84799305832406,8.53301964137809,7.49159925601921,8.08625416251351,10.0433602275523,7.33717109979284,6.86055841944936,6.00728636526374,6.80044590990093,10.8535107849191,8.23341717388927,11.3623889749715,9.70090451924038,8.88746719440412,7.74726952962657,5.89306422538907,8.94211237862366,6.76872792471067,10.0918887547344,8.69004816265107,10.6328650478989,10.8128480091846,9.68688940345234,9.17462773762955,7.48721755880678,8.7414327051083,10.793639889341,8.00381416058014,7.85038425565539,7.87365045339072,5.79778661394226,7.94039928869415,8.98880364511296,6.7382535745627,10.0949444970159,7.3848935815884,6.87815109668736,7.26496145839423,7.15827029970519,7.53349996374768,10.2165064917073,8.9894058318678,8.28675267918645,10.805055933279,9.56377659507941,6.84350051906352,9.15635210882013,7.88131291191506,10.0213712039747,9.4731726791766,8.84719151731752,9.66214709908855,8.94076639959819,7.3496806208212,6.17057648379422,6.36463544277021,7.83161642785731,10.4682915151093,7.1174766380538,7.04145927866449,7.76925482108227,9.52991242194368,7.40791275314004,8.86150840732288,8.90795166899193,6.23157153520892,7.9070246662736,6.54647423003419,7.45605481336066,8.03099091971043,10.7695657510502,12.1871152141157,8.43837103198997,7.99699705284436,9.79711168406374,7.91478002117333,7.53287728007217,6.93736040809673,7.72165295732673,6.97921026638408,7.15169152420003
"GSM1014814","Tumor",7.55361740415974,9.93126534242322,10.1468035713144,9.94177718680242,10.8747560661843,7.26399125699153,9.49741119615856,10.0325957442805,11.4951015603886,9.92846273923777,7.40905772064292,7.78735370521754,8.71930031483965,8.79443303197714,10.394433497722,8.2508240787128,7.8891656138092,8.38737901564831,8.92092912785576,10.7909877383656,9.14127940535709,9.95092472124205,8.10310765140641,6.78665815952277,8.25094013497295,11.290516172854,10.2186581012453,7.89131928452621,9.12339923947172,8.39554361253263,7.97975580525115,11.1798453242138,8.61853717131151,9.46513876859314,9.66611686343711,9.60902598667978,8.21916767882857,7.75234657701578,8.71294122023939,8.80056365312556,11.7337012918468,7.63084087270717,10.3997810101324,10.5632633751675,10.0872017145653,9.88964881315584,8.71198328044828,9.87595288219323,9.94469292245244,10.3186753810881,9.02272729607495,8.8333544459306,8.05849967931415,9.22590091419011,8.6924498432054,8.80755089688799,8.97938658869009,7.87757455662171,8.79106335694801,6.42396238179928,7.69520822495503,7.61613652422172,11.5646864443809,10.758287037085,9.49284425814933,10.3978709849403,9.59168966544283,7.27056288199703,10.5963005217465,8.76205064404605,11.0242642858684,8.00325685652264,9.738856127794,9.77172863606899,11.3019461730491,6.98118074631284,6.97118688058954,7.75913331439718,7.26001896162097,11.3348169895838,8.12539108281542,7.83157015997354,7.34934146665574,10.2587084849489,8.56341912246865,9.48155375064647,10.2596112775556,7.01487203444634,8.21749096163229,7.1899910492422,8.39547336501634,9.19323134557543,11.6182627873277,11.6638202522587,9.59623622218932,8.17779322480877,9.5889263360069,8.73430494344863,8.61351820807073,6.72766804172167,9.12796630935595,7.13386262467138,8.2917304247228
"GSM1014816","Tumor",7.89397035927418,11.4375080204527,8.10350063261749,10.6137191761541,11.4310859246898,6.05236471389794,10.8157788549341,9.41518801370458,11.2156335005288,8.03778672032332,6.90684324560809,7.48791606725618,7.23313986219476,7.0932536815161,10.7115577472454,7.21591753872369,7.75672629128351,8.63698646511958,8.91699243028387,9.49613977178097,8.06057712443056,8.95075037361081,7.46921487916939,12.0372194126117,6.40117338544575,9.40889436306223,10.3878806613402,8.81549010445724,7.49461329704349,7.89338444813839,7.30169862958627,10.36018371887,9.29164053386927,11.3571005323133,10.0364560965814,10.2313609842766,6.41505727022816,7.30102781538451,9.60217031289104,7.81852477461886,10.1741044587417,9.11401393706956,10.7032612337435,11.5024257675828,10.4477106755153,10.2445563865515,7.59300476724366,8.43604425329098,11.165480124196,9.248150235083,7.97408833047177,7.68522008557635,6.20968815611968,7.52888206418004,11.0579261843011,7.38413093141393,10.6759106670904,7.0497333638985,8.30107630710171,7.18512614674532,8.30702779958681,8.64159569505279,10.8356017483212,9.56555785017949,9.05830983552605,10.8828110562163,9.3362322813973,6.82398864001151,10.7234754401038,6.75108729492726,10.2789376288319,9.27742244819776,8.96440374710773,8.52282676550547,10.0218157671152,6.51748968330783,6.86869930914796,7.10833691313866,8.21187095473467,9.5590287506112,7.68400494816925,6.64954018027802,9.01406170276277,9.29391831326986,6.61088902429762,9.87040199335691,8.67537549486744,7.30539271514049,8.45022291727418,6.85458830517143,7.55577424239812,8.4964932728419,10.7208162194575,12.5897525248407,8.17753253340834,7.50114258698825,9.86201959073033,7.53249042685686,10.2447797033349,5.86065462493628,8.60959840004675,7.48352633135106,8.00716636748257
