"","node1","node2","score"
"178","ASPM","TRIP13",0.729
"179","ASPM","AURKA",0.93
"180","ASPM","RAD51AP1",0.673
"181","ASPM","CCNB1",0.952
"182","ASPM","CDK4",0.459
"183","ASPM","TROAP",0.764
"184","ASPM","KIF11",0.989
"185","ASPM","MCM4",0.678
"186","ASPM","POLQ",0.533
"187","ASPM","MCM2",0.54
"188","ASPM","CDCA5",0.746
"189","ASPM","ATAD2",0.581
"190","ASPM","BUB1B",0.974
"191","ASPM","CCNB2",0.951
"192","ASPM","MAD2L1",0.812
"193","ASPM","MELK",0.946
"194","ASPM","PCLAF",0.909
"195","ASPM","TPX2",0.949
"196","ASPM","CDT1",0.578
"197","ASPM","BUB1",0.976
"198","ASPM","CDC25A",0.456
"199","ASPM","CDCA7",0.477
"200","ASPM","MCM7",0.509
"201","ASPM","CKS1B",0.527
"202","ASPM","AURKB",0.89
"203","ASPM","TYMS",0.76
"204","ASPM","KIF15",0.971
"205","ASPM","TACC3",0.553
"206","ASPM","CDKN3",0.854
"207","ASPM","CENPA",0.865
"208","ASPM","UBE2C",0.943
"209","ASPM","IQGAP3",0.615
"210","ASPM","EXO1",0.848
"211","ASPM","CENPF",0.987
"212","ASPM","DTL",0.848
"213","ASPM","MCM3",0.451
"214","ASPM","RFC4",0.507
"215","ASPM","UHRF1",0.569
"216","ASPM","MYC",0.573
"217","ASPM","CHEK1",0.645
"218","ASPM","RAD54L",0.667
"219","ASPM","CKS2",0.745
"220","ASPM","TK1",0.763
"221","ASPM","UBE2T",0.827
"222","ASPM","CDCA3",0.864
"223","ASPM","PTTG1",0.866
"224","ASPM","PRC1",0.921
"225","ASPM","HMMR",0.928
"226","ASPM","KIF2C",0.936
"227","ASPM","NUSAP1",0.94
"228","ASPM","CCNA2",0.944
"229","ASPM","CEP55",0.95
"230","ASPM","CDCA8",0.95
"231","ASPM","PBK",0.951
"232","ASPM","KIF4A",0.952
"233","ASPM","TTK",0.957
"234","ASPM","CDC20",0.972
"235","ASPM","STIL",0.972
"236","ASPM","KIF20A",0.975
"237","ASPM","TOP2A",0.996
"238","ATAD2","TRIP13",0.513
"239","ATAD2","AURKA",0.698
"240","ATAD2","RAD51AP1",0.658
"241","ATAD2","CCNB1",0.449
"242","ATAD2","GGH",0.419
"243","ATAD2","KIF11",0.697
"244","ATAD2","MCM4",0.86
"245","ATAD2","MCM2",0.475
"246","ATAD2","CDCA5",0.444
"247","ATAD2","CDCA3",0.422
"248","ATAD2","CKS2",0.422
"249","ATAD2","PCLAF",0.45
"250","ATAD2","CCNB2",0.459
"251","ATAD2","RAD54L",0.474
"252","ATAD2","UBE2T",0.486
"253","ATAD2","MCM7",0.487
"254","ATAD2","DTL",0.509
"255","ATAD2","EXO1",0.51
"256","ATAD2","KIF4A",0.518
"257","ATAD2","BUB1B",0.519
"258","ATAD2","RFC4",0.519
"259","ATAD2","PBK",0.529
"260","ATAD2","UBE2C",0.546
"261","ATAD2","KIF20A",0.547
"262","ATAD2","MCM3",0.56
"263","ATAD2","HMMR",0.562
"264","ATAD2","CHEK1",0.562
"265","ATAD2","UHRF1",0.575
"266","ATAD2","MAD2L1",0.582
"267","ATAD2","MELK",0.583
"268","ATAD2","CENPA",0.585
"269","ATAD2","TTK",0.607
"270","ATAD2","CCNA2",0.616
"271","ATAD2","TYMS",0.618
"272","ATAD2","AURKB",0.621
"273","ATAD2","KIF15",0.626
"274","ATAD2","KIF2C",0.632
"275","ATAD2","CDCA7",0.635
"276","ATAD2","PRC1",0.635
"277","ATAD2","CDCA8",0.643
"278","ATAD2","BUB1",0.651
"279","ATAD2","CENPF",0.671
"280","ATAD2","MYC",0.698
"281","ATAD2","CEP55",0.715
"282","ATAD2","NUSAP1",0.724
"283","ATAD2","TPX2",0.755
"284","ATAD2","TOP2A",0.837
"285","AURKA","TRIP13",0.771
"286","AURKA","CSE1L",0.423
"287","AURKA","DNMT1",0.433
"288","AURKA","CHTF18",0.45
"289","AURKA","CDCA7",0.465
"290","AURKA","RNASEH2A",0.478
"291","AURKA","DTL",0.485
"292","AURKA","RAD54L",0.519
"293","AURKA","STIL",0.53
"294","AURKA","RCC2",0.534
"295","AURKA","TIMELESS",0.553
"296","AURKA","TROAP",0.563
"297","AURKA","SOX4",0.568
"298","AURKA","TK1",0.598
"299","AURKA","MCM7",0.617
"300","AURKA","RAD51AP1",0.631
"301","AURKA","EXO1",0.635
"302","AURKA","UHRF1",0.64
"303","AURKA","CKS1B",0.645
"304","AURKA","UBE2T",0.649
"305","AURKA","CDT1",0.651
"306","AURKA","MCM3",0.654
"307","AURKA","MCM2",0.668
"308","AURKA","RFC4",0.672
"309","AURKA","CDC25B",0.688
"310","AURKA","MCM4",0.696
"311","AURKA","SRPK1",0.697
"312","AURKA","CDK4",0.704
"313","AURKA","KIF15",0.725
"314","AURKA","CDC25A",0.727
"315","AURKA","TYMS",0.729
"316","AURKA","PCLAF",0.735
"317","AURKA","CHEK1",0.754
"318","AURKA","TTK",0.779
"319","AURKA","PBK",0.791
"320","AURKA","CKS2",0.804
"321","AURKA","CDCA3",0.815
"322","AURKA","NUSAP1",0.843
"323","AURKA","CDCA5",0.864
"324","AURKA","CDKN3",0.87
"325","AURKA","KIF4A",0.885
"326","AURKA","CENPF",0.902
"327","AURKA","PRC1",0.91
"328","AURKA","MELK",0.913
"329","AURKA","MYC",0.914
"330","AURKA","PHLDA1",0.918
"331","AURKA","AURKB",0.922
"332","AURKA","BUB1B",0.924
"333","AURKA","MAD2L1",0.929
"334","AURKA","KIF20A",0.936
"335","AURKA","CEP55",0.936
"336","AURKA","CCNA2",0.949
"337","AURKA","CDCA8",0.952
"338","AURKA","CENPA",0.959
"339","AURKA","TOP2A",0.963
"340","AURKA","PTTG1",0.967
"341","AURKA","HMMR",0.97
"342","AURKA","BUB1",0.971
"343","AURKA","KIF11",0.972
"344","AURKA","KIF2C",0.975
