"","sample","group"
"1","GSM615865","T"
"2","GSM615866","T"
"3","GSM615867","T"
"4","GSM615868","T"
"5","GSM615869","T"
"6","GSM615870","T"
"7","GSM615871","T"
"8","GSM615872","T"
"9","GSM615873","T"
"10","GSM615874","T"
"11","GSM615875","T"
"12","GSM615876","T"
"13","GSM615877","T"
"14","GSM615878","T"
"15","GSM615879","T"
"16","GSM615880","T"
"17","GSM615881","T"
"18","GSM615882","T"
"19","GSM615883","T"
"20","GSM615884","T"
"21","GSM615885","T"
"22","GSM615886","T"
"23","GSM615887","T"
"24","GSM615888","T"
"25","GSM615889","T"
"26","GSM615890","T"
"27","GSM615891","N"
"28","GSM615892","N"
"29","GSM615893","N"
"30","GSM615894","N"
"31","GSM615895","N"
"32","GSM615896","N"
"33","GSM615897","N"
"34","GSM615898","N"
"35","GSM615899","N"
"36","GSM615900","N"
"37","GSM615901","N"
"38","GSM615902","N"
"39","GSM615903","N"
"40","GSM615904","N"
"41","GSM615905","N"
"42","GSM615906","N"
"43","GSM615907","N"
"44","GSM615908","N"
"45","GSM615909","N"
"46","GSM615910","N"
"47","GSM615911","N"
"48","GSM615912","N"
"49","GSM615913","N"
"50","GSM615914","N"
"51","GSM615915","N"
"52","GSM615916","N"
