"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","exprType","latoraClosenessCentrality"
3.74757281553398,0.011509879797598,0.266839378238342,0.166666666666667,4,9,"false","A1CF",7,0,4,0,0.914138349514563,"false",0,"A1CF",1962,0.342105263157895,"down",61.6051587301587
4.74271844660194,0,0.210849539406346,0,1,10,"false","CLMN",4,0,1,0,0.883040048543689,"false",0,"CLMN",0,0,"down",46.6777777777778
3.25728155339806,0.0142592658488958,0.307004470938897,0.464285714285714,8,8,"false","PCK1",9.25,0,8,0,0.929459951456311,"false",0,"PCK1",3154,0.225609756097561,"down",72.0345238095238
3.79611650485437,0.00383177280531201,0.263427109974425,0,3,8,"false","SLC17A4",7,0,3,0,0.912621359223301,"false",0,"SLC17A4",790,0.352941176470588,"down",60.2440476190476
2.87864077669903,0.100390155545126,0.347386172006745,0.183333333333333,16,8,"false","NR1H4",10.1875,0,16,0,0.941292475728155,"false",0,"NR1H4",21540,0.12734375,"down",84.8678571428571
2.93689320388349,0.0391523730292035,0.340495867768595,0.333333333333333,10,7,"false","ABCB1",12.8,0,10,0,0.939472087378641,"false",0,"ABCB1",10690,0.185507246376812,"down",80.3095238095238
2.86893203883495,0.0637287210753659,0.348561759729272,0.164835164835165,14,7,"false","ABCG2",9.57142857142857,0,14,0,0.941595873786408,"false",0,"ABCG2",14554,0.131790744466801,"down",83.5595238095238
3.50970873786408,0.010937305038891,0.284923928077455,0.2,6,8,"false","SLC22A5",6.83333333333333,0,6,0,0.921571601941748,"false",0,"SLC22A5",2012,0.256410256410256,"down",66.4440476190476
3.36893203883495,0.0154607100198572,0.296829971181556,0.3,5,7,"false","SLC7A11",10.8,0,5,0,0.925970873786408,"false",0,"SLC7A11",2348,0.24,"up",69.5190476190476
3.06796116504854,0.0292627630332741,0.325949367088608,0.2,11,8,"false","UGT1A8",11.1818181818182,0,11,0,0.935376213592233,"false",0,"UGT1A8",10988,0.213286713286713,"down",77.3178571428571
3.25728155339806,0.0166482179918578,0.307004470938897,0.424242424242424,12,8,"false","UGT1A9",10.6666666666667,0,12,0,0.929459951456311,"false",0,"UGT1A9",6082,0.248062015503876,"down",74.0773809523809
3.61650485436893,0.00236419198587498,0.276510067114094,0.464285714285714,8,8,"false","UGT1A4",11,0,8,0,0.918234223300971,"false",0,"UGT1A4",1454,0.392857142857143,"down",65.6107142857143
3.06796116504854,0.0292627630332741,0.325949367088608,0.2,11,8,"false","UGT1A1",11.1818181818182,0,11,0,0.935376213592233,"false",0,"UGT1A1",10988,0.213286713286713,"down",77.3178571428571
3.5,0.0232376207163663,0.285714285714286,0.294871794871795,13,8,"false","SULT1A1",8.15384615384615,0,13,0,0.921875,"false",0,"SULT1A1",5068,0.275862068965517,"down",69.5345238095238
2.63106796116505,0.205741030302007,0.380073800738007,0.195564516129032,32,6,"false","CD44",10.96875,0,32,0,0.949029126213592,"false",0,"CD44",42050,0.121839887640449,"up",96.4833333333333
3.5,0.00041804518569272,0.285714285714286,0.666666666666667,3,8,"false","SLCO4A1",12,0,3,0,0.921875,"false",0,"SLCO4A1",116,0.444444444444444,"up",65.2107142857143
3.44660194174757,0.00323083654563273,0.290140845070423,0,3,8,"false","GHR",13.6666666666667,0,3,0,0.923543689320388,"false",0,"GHR",892,0.351851851851852,"down",66.9607142857143
3.58252427184466,0.0186303525283824,0.279132791327913,0,4,8,"false","GPX3",6,0,4,0,0.919296116504854,"false",0,"GPX3",2484,0.25,"down",63.8178571428571
3.10679611650485,0.0063031510934574,0.321875,0.428571428571429,7,7,"false","LGR5",14.1428571428571,0,7,0,0.934162621359223,"false",0,"LGR5",1630,0.252551020408163,"up",75.402380952381
3.29126213592233,0.0125392030069555,0.303834808259587,0.571428571428571,8,7,"false","MET",16.375,0,8,0,0.928398058252427,"false",0,"MET",2946,0.300925925925926,"up",72.902380952381
2.88349514563107,0.0305197320770477,0.346801346801347,0.285714285714286,8,7,"false","KLF4",16.5,0,8,0,0.941140776699029,"false",0,"KLF4",6808,0.191176470588235,"down",82.1690476190476
3.75728155339806,0,0.266149870801034,1,4,8,"false","ACACB",9,0,4,0,0.913834951456311,"false",0,"ACACB",0,0.5,"down",60.9440476190476
3.08252427184466,0.0497740382031302,0.324409448818898,0.244444444444444,10,7,"false","FABP4",11.1,0,10,0,0.934921116504854,"false",0,"FABP4",8498,0.180327868852459,"down",77.4690476190476
3.33980582524272,0.0185418582889118,0.299418604651163,0.333333333333333,10,8,"false","ACOX1",6.8,0,10,0,0.926881067961165,"false",0,"ACOX1",3772,0.206060606060606,"down",71.2107142857143
3.44174757281553,0.00995256050854197,0.290550070521862,0.5,8,8,"false","SCD",7.75,0,8,0,0.923695388349515,"false",0,"SCD",2600,0.267241379310345,"up",68.4440476190476
3.70873786407767,0.00904230196906769,0.269633507853403,0.2,5,9,"false","ETFDH",9.6,0,5,0,0.915351941747573,"false",0,"ETFDH",1098,0.23,"down",65.0634920634921
4.25728155339806,0.000108024143190863,0.234891676168757,0.666666666666667,3,9,"false","FADS1",7.33333333333333,0,3,0,0.898209951456311,"false",0,"FADS1",26,0.611111111111111,"up",53.665873015873
