"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.7475728155339807","0.011509879797597971","0.266839378238342","0.16666666666666666","4","9","false","A1CF","7.0","0","4","0","0.9141383495145631","false","0","A1CF","1962","0.34210526315789475"
"4.742718446601942","0.0","0.21084953940634593","0.0","1","10","false","CLMN","4.0","0","1","0","0.8830400485436893","false","0","CLMN","0","0.0"
"3.2572815533980584","0.014259265848895808","0.30700447093889716","0.4642857142857143","8","8","false","PCK1","9.25","0","8","0","0.9294599514563107","false","0","PCK1","3154","0.22560975609756098"
"3.796116504854369","0.0038317728053120113","0.26342710997442453","0.0","3","8","false","SLC17A4","7.0","0","3","0","0.912621359223301","false","0","SLC17A4","790","0.35294117647058826"
"2.878640776699029","0.10039015554512637","0.3473861720067454","0.18333333333333332","16","8","false","NR1H4","10.1875","0","16","0","0.9412924757281553","false","0","NR1H4","21540","0.12734375"
"2.936893203883495","0.039152373029203456","0.3404958677685951","0.3333333333333333","10","7","false","ABCB1","12.8","0","10","0","0.9394720873786407","false","0","ABCB1","10690","0.1855072463768116"
"2.8689320388349513","0.06372872107536587","0.34856175972927245","0.16483516483516483","14","7","false","ABCG2","9.571428571428571","0","14","0","0.9415958737864077","false","0","ABCG2","14554","0.1317907444668008"
"3.5097087378640777","0.010937305038891017","0.28492392807745504","0.2","6","8","false","SLC22A5","6.833333333333333","0","6","0","0.9215716019417476","false","0","SLC22A5","2012","0.2564102564102564"
"3.3689320388349513","0.01546071001985724","0.2968299711815562","0.3","5","7","false","SLC7A11","10.8","0","5","0","0.9259708737864077","false","0","SLC7A11","2348","0.24"
"3.0679611650485437","0.029262763033274054","0.3259493670886076","0.2","11","8","false","UGT1A8","11.181818181818182","0","11","0","0.935376213592233","false","0","UGT1A8","10988","0.21328671328671328"
"3.2572815533980584","0.01664821799185783","0.30700447093889716","0.42424242424242425","12","8","false","UGT1A9","10.666666666666666","0","12","0","0.9294599514563107","false","0","UGT1A9","6082","0.24806201550387597"
"3.616504854368932","0.0023641919858749813","0.276510067114094","0.4642857142857143","8","8","false","UGT1A4","11.0","0","8","0","0.9182342233009708","false","0","UGT1A4","1454","0.39285714285714285"
"3.0679611650485437","0.029262763033274054","0.3259493670886076","0.2","11","8","false","UGT1A1","11.181818181818182","0","11","0","0.935376213592233","false","0","UGT1A1","10988","0.21328671328671328"
"3.5","0.02323762071636627","0.2857142857142857","0.2948717948717949","13","8","false","SULT1A1","8.153846153846153","0","13","0","0.921875","false","0","SULT1A1","5068","0.27586206896551724"
"2.6310679611650487","0.2057410303020068","0.38007380073800734","0.19556451612903225","32","6","false","CD44","10.96875","0","32","0","0.9490291262135923","false","0","CD44","42050","0.12183988764044944"
"3.5","4.180451856927198E-4","0.2857142857142857","0.6666666666666666","3","8","false","SLCO4A1","12.0","0","3","0","0.921875","false","0","SLCO4A1","116","0.4444444444444444"
"3.4466019417475726","0.0032308365456327343","0.29014084507042254","0.0","3","8","false","GHR","13.666666666666666","0","3","0","0.9235436893203883","false","0","GHR","892","0.35185185185185186"
"3.5825242718446604","0.018630352528382424","0.27913279132791324","0.0","4","8","false","GPX3","6.0","0","4","0","0.9192961165048543","false","0","GPX3","2484","0.25"
"3.1067961165048543","0.006303151093457399","0.321875","0.42857142857142855","7","7","false","LGR5","14.142857142857142","0","7","0","0.9341626213592233","false","0","LGR5","1630","0.25255102040816324"
"3.29126213592233","0.01253920300695553","0.30383480825958703","0.5714285714285714","8","7","false","MET","16.375","0","8","0","0.9283980582524272","false","0","MET","2946","0.30092592592592593"
"2.883495145631068","0.03051973207704765","0.3468013468013468","0.2857142857142857","8","7","false","KLF4","16.5","0","8","0","0.9411407766990292","false","0","KLF4","6808","0.19117647058823528"
"3.7572815533980584","0.0","0.2661498708010336","1.0","4","8","false","ACACB","9.0","0","4","0","0.9138349514563107","false","0","ACACB","0","0.5"
"3.0825242718446604","0.04977403820313025","0.3244094488188976","0.24444444444444444","10","7","false","FABP4","11.1","0","10","0","0.9349211165048543","false","0","FABP4","8498","0.18032786885245902"
"3.3398058252427183","0.018541858288911785","0.2994186046511628","0.3333333333333333","10","8","false","ACOX1","6.8","0","10","0","0.9268810679611651","false","0","ACOX1","3772","0.20606060606060606"
"3.441747572815534","0.00995256050854197","0.29055007052186177","0.5","8","8","false","SCD","7.75","0","8","0","0.9236953883495146","false","0","SCD","2600","0.2672413793103448"
"3.70873786407767","0.009042301969067695","0.2696335078534031","0.2","5","9","false","ETFDH","9.6","0","5","0","0.9153519417475728","false","0","ETFDH","1098","0.23"
"4.257281553398058","1.0802414319086343E-4","0.23489167616875714","0.6666666666666666","3","9","false","FADS1","7.333333333333333","0","3","0","0.8982099514563107","false","0","FADS1","26","0.6111111111111112"
"3.650485436893204","0.018048986579980223","0.27393617021276595","0.38095238095238093","7","9","false","HMGCS2","7.714285714285714","0","7","0","0.9171723300970873","false","0","HMGCS2","3922","0.2804232804232804"
"3.941747572815534","0.0011262899981280797","0.2536945812807882","0.5","4","9","false","SLC25A20","7.0","0","4","0","0.9080703883495146","false","0","SLC25A20","130","0.3684210526315789"
"3.650485436893204","0.004522778747883763","0.27393617021276595","0.3333333333333333","3","8","false","EPHX2","9.0","0","3","0","0.9171723300970873","false","0","EPHX2","596","0.4126984126984127"
"5.257281553398058","0.02884205541084537","0.19021237303785782","0.0","2","9","false","ADAMDEC1","2.5","0","2","0","0.8669599514563107","false","0","ADAMDEC1","8394","0.5"
"4.29126213592233","0.038322677401531294","0.2330316742081448","0.0","3","8","false","TACSTD2","5.0","0","3","0","0.8971480582524272","false","0","TACSTD2","11192","0.36363636363636365"
