"","gene","coefficient"
"1","CDC25B",0.582878881527425
"2","GZMB",0.635778095536377
"3","MMP7",0.515358968881562
"4","CDK4",0.491817292496776
"5","TEAD4",1.86446261078632
"6","SLC7A5",0.0933504680541981
"7","MMP1",1.25200310116272
"8","MCM4",-0.109646015957192
"9","UHRF1",0.144292382859408
"10","TRIB3",0.487386358177255
"11","IQGAP3",0.779339634640096
