"PC-1"	"PC-2"	"Batch"	"Group"
"GSM615944"	-210.187772491	55.1137946099929	"GSE25071"	"Tumor"
"GSM615945"	-214.630211754144	53.6183318068021	"GSE25071"	"Tumor"
"GSM615946"	-213.935814225293	49.3890294275901	"GSE25071"	"Tumor"
"GSM615947"	-212.451234799316	49.5422973210091	"GSE25071"	"Tumor"
"GSM615948"	-211.354564017822	51.755745762515	"GSE25071"	"Tumor"
"GSM615949"	-215.400618851622	51.7466385735781	"GSE25071"	"Tumor"
"GSM615950"	-208.33132594395	52.1224191148078	"GSE25071"	"Tumor"
"GSM615951"	-215.765767855185	50.9017510371342	"GSE25071"	"Tumor"
"GSM615952"	-215.948191546849	51.8077249278282	"GSE25071"	"Tumor"
"GSM615953"	-215.727925922024	51.0184387013351	"GSE25071"	"Tumor"
"GSM615954"	-205.988194810882	50.8551330588118	"GSE25071"	"Tumor"
"GSM615955"	-213.909749121599	49.1029623161152	"GSE25071"	"Tumor"
"GSM615956"	-214.324875069629	49.4667150361507	"GSE25071"	"Tumor"
"GSM615957"	-216.919262211608	49.4408365924095	"GSE25071"	"Tumor"
"GSM615958"	-207.106504961353	50.7197214631438	"GSE25071"	"Normal"
"GSM615959"	-201.670363394834	47.5848080383037	"GSE25071"	"Normal"
"GSM615960"	-207.888461724088	48.3273369846574	"GSE25071"	"Normal"
"GSM615961"	-204.005534780496	47.188034758597	"GSE25071"	"Normal"
"GSM721720"	-209.259812611005	50.5280253760251	"GSE25071"	"Tumor"
"GSM721721"	-212.409022238105	50.528888225067	"GSE25071"	"Tumor"
"GSM721722"	-209.326936060228	48.8820528686641	"GSE25071"	"Tumor"
"GSM721723"	-210.618183356101	50.2988787381845	"GSE25071"	"Tumor"
"GSM721724"	-212.566627972724	50.0907364139081	"GSE25071"	"Tumor"
"GSM1077598"	71.5260832125995	22.0408217404683	"GSE44076"	"Normal"
"GSM1077599"	72.7985318642013	21.9397021525708	"GSE44076"	"Normal"
"GSM1077600"	75.5713081964423	19.306531397915	"GSE44076"	"Normal"
"GSM1077601"	72.3065963098172	21.151551185988	"GSE44076"	"Normal"
"GSM1077602"	73.9896321193713	21.3290948249723	"GSE44076"	"Normal"
"GSM1077603"	74.2800290872119	21.6085673936797	"GSE44076"	"Normal"
"GSM1077604"	75.2212663530583	20.4558644634533	"GSE44076"	"Normal"
"GSM1077605"	72.5800904128455	21.7983067986018	"GSE44076"	"Normal"
"GSM1077606"	73.6712817775876	20.776296016291	"GSE44076"	"Normal"
"GSM1077607"	74.7823660402516	20.7299629274323	"GSE44076"	"Normal"
"GSM1077608"	74.7628038538664	21.2537696010826	"GSE44076"	"Normal"
"GSM1077609"	73.1434501480839	21.8714938350839	"GSE44076"	"Normal"
"GSM1077610"	72.0747304683284	21.6893154476648	"GSE44076"	"Normal"
"GSM1077611"	74.1735584942207	22.0860335512873	"GSE44076"	"Normal"
"GSM1077612"	73.5815428801996	22.0653995221516	"GSE44076"	"Normal"
"GSM1077613"	73.5015687677061	21.6651307960655	"GSE44076"	"Normal"
"GSM1077614"	72.693922339912	21.9597419063191	"GSE44076"	"Normal"
"GSM1077615"	74.3625033895861	22.3649004281859	"GSE44076"	"Normal"
"GSM1077616"	71.8270586550077	22.3486713331808	"GSE44076"	"Normal"
"GSM1077617"	74.513355995262	21.5835686286017	"GSE44076"	"Normal"
"GSM1077618"	73.3680776732614	21.8819990397079	"GSE44076"	"Normal"
"GSM1077619"	73.6443763295937	21.7945352204957	"GSE44076"	"Normal"
"GSM1077620"	72.6550678782666	21.9666087919378	"GSE44076"	"Normal"
"GSM1077621"	72.7480814174859	20.9587064076867	"GSE44076"	"Normal"
"GSM1077622"	74.4992299510955	21.2339586550508	"GSE44076"	"Normal"
"GSM1077623"	76.8641362697406	20.8712379409013	"GSE44076"	"Normal"
"GSM1077624"	72.6131848500005	21.5417681031163	"GSE44076"	"Normal"
"GSM1077625"	76.2318556120276	21.5013430434516	"GSE44076"	"Normal"
"GSM1077626"	73.3822064164528	21.7614909506778	"GSE44076"	"Normal"
"GSM1077627"	74.0860227610543	20.1657847448701	"GSE44076"	"Normal"
"GSM1077628"	73.3877338970246	21.6207989809305	"GSE44076"	"Normal"
"GSM1077629"	74.3507417511084	21.7048863290405	"GSE44076"	"Normal"
"GSM1077630"	73.5434012645508	21.6989258942556	"GSE44076"	"Normal"
"GSM1077631"	74.212610854351	21.4371025002051	"GSE44076"	"Normal"
"GSM1077632"	73.3729833614182	21.191302745965	"GSE44076"	"Normal"
"GSM1077633"	73.756819118711	21.3587196322851	"GSE44076"	"Normal"
"GSM1077634"	72.4883900663014	21.3957389940873	"GSE44076"	"Normal"
"GSM1077635"	72.7955120354916	22.0455876252774	"GSE44076"	"Normal"
"GSM1077636"	73.006641977649	21.5184451881521	"GSE44076"	"Normal"
"GSM1077637"	73.7825452364963	21.5021366336446	"GSE44076"	"Normal"
"GSM1077638"	72.8887361209802	21.6499168284585	"GSE44076"	"Normal"
"GSM1077639"	74.148578873686	21.264830184002	"GSE44076"	"Normal"
"GSM1077640"	73.2765257992554	21.3898687613139	"GSE44076"	"Normal"
"GSM1077641"	71.4445979506252	20.8706860481774	"GSE44076"	"Normal"
"GSM1077642"	73.9054634769889	21.5669319275145	"GSE44076"	"Normal"
"GSM1077643"	72.2418798632921	21.9305134426456	"GSE44076"	"Normal"
"GSM1077644"	72.8869520521441	21.8935859848651	"GSE44076"	"Normal"
